"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGALG00000006560",543.0769413015,-0.0517563768565416,0.149173588215995,-0.346954025008779,0.728625858482267,0.866646480683161
"ENSGALG00000008509",53.4986431452984,-0.360498358212993,0.31686535288437,-1.13770203946704,0.255244921531668,0.504094184437257
"ENSGALG00000008499",7.95130051554644,-0.152739469815922,0.382217862643129,-0.399613635950168,0.689441111448814,0.843844031496746
"ENSGALG00000008486",83.7052495891495,0.494940428775337,0.301053923376751,1.64402583837431,0.100170865288421,0.296949253820633
"ENSGALG00000008461",58.9853717205905,-0.54761754701886,0.328280889512926,-1.66813714874286,0.095288504160942,0.289019572227658
"ENSGALG00000008455",226.690837508477,0.0434951152764856,0.319376121569323,0.136187749612473,0.891672859330779,0.949730183095559
"ENSGALG00000008382",287.914096882994,0.154230865719863,0.197112957802494,0.782449147125078,0.433950660061245,0.668634024545494
"ENSGALG00000008353",191.596270881982,-0.357739485442467,0.211277977179635,-1.69321710770785,0.0904141493854376,0.281657449210816
"ENSGALG00000008335",154.954155840493,-0.350960978791918,0.268504687330131,-1.30709442088959,0.191180645853154,0.427184532555233
"ENSGALG00000008330",38.8375836905736,0.00382582840947495,0.248866780829085,0.0153729975400069,0.987734605722974,0.994591578842813
"ENSGALG00000008328",65.8178463176132,-0.259536675303052,0.201564013307299,-1.28761414820298,0.197880311857037,0.434649304228468
"ENSGALG00000008322",943.378649249877,-0.1782974581907,0.141033438022973,-1.26422117116408,0.206150653991083,0.444712497327039
"ENSGALG00000008312",67.5446887530724,0.0320239462435831,0.222336939386113,0.144033404129801,0.885474091967456,0.946167850830982
"ENSGALG00000028239",0.520679368682374,0.117652471427825,0.337030038954988,0.349086009640636,0.727024739397675,NA
"ENSGALG00000008309",3.94650785437434,-0.301723306243943,0.372014753971912,-0.811051989262565,0.417335815394344,0.655941357312936
"ENSGALG00000008306",0.754994434770741,0.134296986881294,0.256826064371186,0.522910270848511,0.601036696820234,NA
"ENSGALG00000008301",22.6028333236404,0.0435909005173612,0.250581323124041,0.173959096288207,0.861897608455328,0.937717939053315
"ENSGALG00000008295",2.61776857080587,0.388220337645981,0.383559242261388,1.01215221762644,0.311465278542267,0.562674331535486
"ENSGALG00000008298",0.0757560028475993,0.0852050303019793,0.125338094975678,0.679801542527939,0.496630129841978,NA
